date,price
2017-07-10,1213.76
2017-07-07,1213.06
2017-07-06,1222.84
2017-07-05,1226.66
2017-07-04,1226.82
2017-07-03,1223.53
2017-06-30,1241.58
2017-06-29,1246.56
2017-06-28,1249.8
2017-06-27,1249.25
2017-06-26,1243.19
2017-06-23,1256.82
2017-06-22,1251.54
2017-06-21,1249.03
2017-06-20,1244.94
2017-06-19,1243.86
2017-06-16,1253.89
2017-06-15,1253.97
2017-06-14,1263.51
2017-06-13,1267.43
2017-06-12,1265.32
2017-06-09,1266.68
2017-06-08,1279.97
2017-06-07,1284.74
2017-06-06,1293.82
2017-06-05,1280.57
2017-06-02,1279.11
2017-06-01,1264.86
2017-05-31,1268.78
2017-05-30,1262.47
2017-05-29,1266.92
2017-05-26,1266.91
2017-05-25,1255.29
2017-05-24,1257.93
2017-05-23,1251.12
2017-05-22,1263.21
2017-05-19,1255.4
2017-05-18,1248.63
2017-05-17,1260.41
2017-05-16,1243.49
2017-05-15,1231.56
2017-05-12,1228.45
2017-05-11,1225.05
2017-05-10,1217.82
2017-05-09,1223.51
2017-05-08,1226.3
2017-05-05,1227.74
2017-05-04,1227.75
2017-05-03,1238.38
2017-05-02,1256.9
2017-05-01,1256.8
2017-04-28,1268.15
2017-04-27,1264.6
2017-04-26,1269.05
2017-04-25,1263.76
2017-04-24,1275.3
2017-04-21,1284.5
2017-04-20,1281.85
2017-04-19,1279.66
2017-04-18,1289.64
2017-04-17,1284.8
2017-04-14,1285.69
2017-04-13,1287.74
2017-04-12,1286.6
2017-04-11,1274.44
2017-04-10,1254.73
2017-04-07,1254.05
2017-04-06,1251.8
2017-04-05,1255.3
2017-04-04,1256.22
2017-04-03,1253.35
2017-03-31,1249.13
2017-03-30,1243.3
2017-03-29,1252.45
2017-03-28,1251.63
2017-03-27,1254.3
2017-03-24,1244.17
2017-03-23,1245.3
2017-03-22,1249.35
2017-03-21,1245.0
2017-03-20,1233.9
2017-03-17,1229.15
2017-03-16,1226.78
2017-03-15,1219.4
2017-03-14,1199.08
2017-03-13,1204.05
2017-03-10,1204.55
2017-03-09,1200.83
2017-03-08,1207.58
2017-03-07,1215.67
2017-03-06,1225.96
2017-03-03,1234.3
2017-03-02,1235.3
2017-03-01,1248.94
2017-02-28,1248.59
2017-02-27,1252.76
2017-02-24,1256.94
2017-02-23,1249.41
2017-02-22,1237.69
2017-02-21,1235.97
2017-02-20,1238.38
2017-02-17,1235.29
2017-02-16,1239.14
2017-02-15,1232.94
2017-02-14,1228.61
2017-02-13,1225.44
2017-02-10,1234.12
2017-02-09,1230.89
2017-02-08,1241.99
2017-02-07,1233.72
2017-02-06,1235.59
2017-02-03,1219.88
2017-02-02,1215.93
2017-02-01,1209.49
2017-01-31,1210.63
2017-01-30,1195.35
2017-01-27,1191.6
2017-01-26,1188.57
2017-01-25,1200.31
2017-01-24,1208.81
2017-01-23,1217.48
2017-01-20,1209.96
2017-01-19,1205.14
2017-01-18,1203.64
2017-01-17,1216.54
2017-01-16,1203.17
2017-01-13,1197.66
2017-01-12,1195.66
2017-01-11,1191.85
2017-01-10,1187.74
2017-01-09,1181.27
2017-01-06,1172.81
2017-01-05,1180.48
2017-01-04,1163.8
2017-01-03,1158.91
2017-01-02,1150.52
2016-12-30,1151.85
2016-12-29,1158.32
2016-12-28,1142.45
2016-12-27,1139.35
2016-12-26,1133.94
2016-12-23,1133.49
2016-12-22,1128.69
2016-12-21,1131.8
2016-12-20,1132.2
2016-12-19,1139.05
2016-12-16,1134.09
2016-12-15,1128.43
2016-12-14,1144.25
2016-12-13,1158.35
2016-12-12,1162.21
2016-12-09,1157.87
2016-12-08,1170.55
2016-12-07,1174.0
