0,1,2
2015-01-08,97891.9600000001,0.011
2014-12-24,98116.44000000008,0.011
2014-12-10,102535.16000000008,0.011
2014-11-26,103647.34000000003,0.011
2014-11-12,105531.20999999999,0.011
2014-10-29,106276.67000000001,0.011
2014-10-15,109885.70000000004,0.011
2014-10-01,107351.96000000006,0.011
2014-09-17,107479.93000000002,0.011
2014-09-03,105092.71000000002,0.011
2014-08-20,104913.48000000001,0.011
2014-08-06,111055.07,0.011
2014-07-23,111429.68000000001,0.011
2014-07-09,110333.83,0.011
2014-06-25,112001.74,0.011
2014-06-11,111970.36000000002,0.011
2014-05-28,115075.06000000001,0.011
2014-05-14,111773.19000000008,0.011
2014-04-30,112891.42999999998,0.011
2014-04-16,111104.38999999997,0.011
2014-04-02,112164.66999999997,0.011
2014-03-19,110752.02999999998,0.011
2014-03-05,114881.10999999997,0.011
2014-02-19,113509.08999999995,0.011
2014-02-05,109370.27999999993,0.011
2014-01-22,111176.06999999989,0.011
2014-01-08,107934.0999999999,0.011
2013-12-25,103742.86999999991,0.011
2013-12-11,99971.0499999999,0.011
2013-11-27,100359.34999999989,0.011
2013-11-13,106927.4499999999,0.011
2013-10-30,112308.75999999988,0.011
2013-10-16,108464.89999999994,0.011
2013-10-02,109752.3999999999,0.011
2013-09-18,113247.68999999992,0.011
2013-09-04,111467.1999999999,0.011
2013-08-21,112800.34999999995,0.011
2013-08-07,109316.80999999991,0.011
2013-07-24,107413.2599999999,0.011
2013-07-10,103976.92999999982,0.011
2013-06-26,96647.1799999999,0.011
2013-06-12,107290.37999999992,0.011
2013-05-29,108660.6499999999,0.011
2013-05-15,104844.9499999999,0.011
2013-05-01,110063.74999999988,0.011
2013-04-17,105165.75999999988,0.011
2013-04-03,114031.05999999985,0.011
2013-03-19,112905.60999999986,0.011
2013-03-05,113551.03999999989,0.011
2013-02-19,108985.78999999988,0.011
2013-02-05,114666.94999999988,0.011
2013-01-22,110906.0799999999,0.011
2013-01-08,111241.25999999986,0.011
2012-12-25,112197.68999999989,0.011
2012-12-11,116061.56999999989,0.011
2012-11-27,119255.53999999994,0.011
2012-11-13,121370.44999999995,0.011
2012-10-30,121593.68999999996,0.011
2012-10-16,120032.50999999991,0.011
2012-10-02,123181.94999999988,0.011
2012-09-18,121119.2699999999,0.011
2012-09-04,115764.09999999985,0.011
2012-08-21,116553.29999999986,0.011
2012-08-07,112695.05999999984,0.011
2012-07-24,111765.06999999985,0.011
2012-07-10,105861.4299999998,0.011
2012-06-26,105478.38999999985,0.011
2012-06-12,113539.7499999999,0.011
2012-05-29,110535.2999999999,0.011
2012-05-15,113911.0999999999,0.011
2012-05-01,115340.9299999998,0.011
2012-04-17,107988.27999999984,0.011
2012-04-03,105833.50999999991,0.011
2012-03-20,106696.2099999999,0.011
2012-03-06,104389.91999999987,0.011
2012-02-21,113910.6699999999,0.011
2012-02-07,100395.31999999989,0.011
2012-01-24,100145.11999999994,0.011
2012-01-10,103021.21999999991,0.011
2011-12-27,96454.33999999992,0.011
2011-12-13,94473.05999999992,0.011
2011-11-29,103864.28999999994,0.011
2011-11-15,103661.38999999996,0.011
2011-11-01,105113.94000000003,0.011
2011-10-18,95822.76000000001,0.011
2011-10-04,95571.12000000002,0.011
2011-09-20,102381.8,0.011
2011-09-06,104708.35999999997,0.011
2011-08-23,100397.63999999994,0.011
2011-08-09,100458.53999999998,0.011
2011-07-26,94759.18999999994,0.011
2011-07-12,94414.39,0.011
2011-06-28,92639.18999999997,0.011
2011-06-14,94938.39000000001,0.011
2011-05-31,93774.75999999997,0.011
2011-05-17,93185.29999999993,0.011
2011-05-03,93438.04999999993,0.011
2017-04-13,100801.51000000015,0.012
2017-03-30,101194.05000000015,0.012
2017-03-16,98296.68000000017,0.012
2017-03-02,96062.02000000014,0.012
2017-02-16,97395.68000000012,0.012
2017-02-02,97202.38000000012,0.012
